project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Dahna Toor Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),0.85,,subbituminous,thermal,underground,779,Afghanistan,Asia,https://www.gem.wiki/Dahna_Toor_Coal_Mine,35.70499225,67.31219552
Garmak Project Coal Mine,operating,Khoshak Brothers Company,Khoshak Brothers Company,0.04,,subbituminous,thermal,underground,783,Afghanistan,Asia,https://www.gem.wiki/Garmak_Project_Coal_Mine,35.733,67.308
Shadashak Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),1.1,,bituminous,met,underground,673,Afghanistan,Asia,https://www.gem.wiki/Shadashak_Coal_Mine,35.863255,67.596674
Tala Wa Barfak Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),0.1,,subbituminous,thermal,underground,960,Afghanistan,Asia,https://www.gem.wiki/Tala_Wa_Barfak_Coal_Mine,35.33194,68.12
Valius Coal Mine,operating,,,0.13,,lignite,thermal,underground,888,Albania,Europe,https://www.gem.wiki/Valius_Coal_Mine,41.39151824,19.73642639
Río Turbio Coal Mine,operating,Yacimientos Carboníferos Río Turbio (YCRT),Yacimientos Carboníferos Río Turbio (YCRT),0.07,450,subbituminous,thermal,underground,400,Argentina,Americas,https://www.gem.wiki/Río_Turbio_Mine,-51.538363,-72.324353
Airly Coal Mine,operating,Banpu,Centennial Coal Airly,1.17,32,bituminous,thermal,underground,155,Australia,Oceania,https://www.gem.wiki/Airly_Mine,-33.1130709,150.0149367
Alpha Coal Project,cancelled,"GVK Group (79%), Hancock Coal (21%)",GVK Hancock,32,821,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Alpha_Coal_Project,-23.389482,146.39734
Alpha West Coal Project,cancelled,GVK Group,GVK Hancock,24,,subbituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Alpha_West_coal_project,-23.115171,146.332751
Angus Place Coal Mine,cancelled,Banpu,Centennial Coal Angus Place,3,54,subbituminous,thermal,underground,270,Australia,Oceania,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Angus Place Coal Mine,mothballed,"Banpu (50%), Boulder Mining Pty Limited (50%)",Angus Place Pty Limited,0,27,subbituminous,thermal,underground,280,Australia,Oceania,https://www.gem.wiki/Angus_Place_Colliery,-33.351985,150.099356
Angus Place West Coal Mine,proposed,Banpu,Centennial Coal Angus Place,2,,subbituminous,thermal,underground,200,Australia,Oceania,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Appin Coal Mine,operating,South32,Illawarra Coal,4.7,113,bituminous,met,underground,875,Australia,Oceania,https://www.gem.wiki/Appin_mine,-34.211194,150.792736
Aquila Coal Mine,operating,"Anglo American (70%), Mitsui Holdings (30%)",Mastermyne,5,45,bituminous,met,underground,600,Australia,Oceania,https://www.gem.wiki/Aquila_Mine,-22.9816055,148.5373229
Ashton Coal Mine,cancelled,Yankuang Energy,Ashton Coal Operations,2.4,,bituminous,thermal_and_met,surface,160,Australia,Oceania,https://www.gem.wiki/Ashton_coal_project,-32.468942,151.078493
Ashton Coal Mine,operating,Yankuang Energy,Ashton Coal Operations,2.1,21,bituminous,thermal_and_met,underground_and_surface,317,Australia,Oceania,https://www.gem.wiki/Ashton_coal_mine,-32.468942,151.078493
Baralaba Coal Mine,operating,AMCI Group,Golding Contractors,1.8,79,bituminous,thermal_and_met,surface,400,Australia,Oceania,https://www.gem.wiki/Baralaba_coal_mine,-24.13680401,149.7936125
Baralaba Coal Mine,proposed,AMCI Group,Golding Contractors,2,79,bituminous,thermal_and_met,surface,400,Australia,Oceania,https://www.gem.wiki/Baralaba_coal_mine,-24.15411438,149.8027197
Belview Coal Mine,shelved,Golden Energy Mines,Stanmore Coal,2.6,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Belview_coal_project,-23.587132,148.977385
Bengalla Coal Mine,operating,"New Hope Group (80%), Taipower (20%)",Bengalla Mining Company,11.7,183,subbituminous,thermal,surface,420,Australia,Oceania,https://www.gem.wiki/Bengalla_mine,-32.268076,150.84
Blackwater Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)",BHP Mitsubishi Alliance (BMA),11.6,372,bituminous,thermal_and_met,surface,1530,Australia,Oceania,https://www.gem.wiki/Blackwater_mine,-23.685585,148.807361
Blackwood Coal Mine,operating,Cement Australia,Cornwall Coal Company,0.6,,bituminous,thermal,underground,70,Australia,Oceania,https://www.gem.wiki/Blackwood_Mine_(Cornwall_Colliery),-41.559798,148.130942
Blair Athol Coal Mine,operating,TerraCom,Orion Mining,2.3,29,subbituminous,thermal,surface,184,Australia,Oceania,https://www.gem.wiki/Blair_Athol_mine,-22.703221,147.54353
Bloomfield Coal Mine,operating,Bloomfield Group,Bloomfield Collieries,1.3,8,bituminous,thermal_and_met,surface,100,Australia,Oceania,https://www.gem.wiki/Bloomfield_Mine_and_Colliery,-32.7928986,151.5841947
Bluff Coal Mine,operating,Bowen Coking Coal,HSE Mining,1.2,,bituminous,met,surface,,Australia,Oceania,https://www.gem.wiki/Bluff_coal_mine,-23.58974663,149.0786443
Boggabri Coal Mine,operating,"Idemitsu Australia Resources  Idemitsu Kosan (80%), Energia Group (10%), Nippon Steel (10%)",Boggabri Coal Operations,5.3,,bituminous,thermal_and_met,surface,600,Australia,Oceania,https://www.gem.wiki/Boggabri_coal_mine,-30.6116182,150.1550389
Boggabri Coal Mine,proposed,"Idemitsu Australia Resources  Idemitsu Kosan (80%), Energia Group (10%), Nippon Steel (10%)",Boggabri Coal Operations,0.5,,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Boggabri_coal_mine,-30.6116182,150.1550389
Broadmeadow Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)",B.M Alliance Coal Operations,5.2,165,bituminous,met,underground,619,Australia,Oceania,https://www.gem.wiki/Broadmeadow_mine,-21.8025693,147.98
Broadmeadow East Coal Mine,operating,Bowen Coking Coal,BUMA Australia,1.1,,bituminous,met,surface,370,Australia,Oceania,https://www.gem.wiki/Broadmeadow_East_Coal_Mine,-21.823999,147.979227
Bulga Coal Mine,operating,"Glencore (87.5%), Nippon Steel (12.5%)",Bulga Coal Management (BCM),*,63,bituminous,thermal,surface,50,Australia,Oceania,https://www.gem.wiki/Bulga_coal_mine,-32.6795434,151.1000279
Bulga Coal Mine,operating,"Glencore (87.5%), Nippon Steel (12.5%)",Bulga Coal Management (BCM),10.98,159,bituminous,thermal_and_met,underground_and_surface,750,Australia,Oceania,https://www.gem.wiki/Bulga_coal_mine,-32.6795434,151.1000279
Burton Lenton Coal Mine,proposed,Bowen Coking Coal,Bowen Coking Coal,2,21,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Burton_Lenton_coal_mine,-21.528062,148.196995
Byerwen Coal Mine,operating,"QCoal (85%), JFE Steel (15%)",Macmahon,10,,bituminous,met,surface,545,Australia,Oceania,https://www.gem.wiki/Byerwen_Coal_Project,-21.242828,147.835392
Bylong Coal Project,cancelled,KEPCO,KEPCO Bylong Australia,6.5,124,bituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/Bylong_coal_project,-32.451139,150.143913
Callide Coal Mine,operating,Batchfire Resources,Batchfire Callide Management,10.8,,subbituminous,thermal,surface,450,Australia,Oceania,https://www.gem.wiki/Callide_mine,-24.310921,150.622173
Cameby Downs Coal Mine,operating,Shandong Energy,Syntech Resources,2.4,122,bituminous,thermal,surface,574,Australia,Oceania,https://www.gem.wiki/Cameby_Downs_mine,-26.6181915,150.3548193
Cameby Downs Coal Mine,proposed,Shandong Energy,Syntech Resources,0.7,234,subbituminous,thermal,surface,574,Australia,Oceania,https://www.gem.wiki/Cameby_Downs_mine,-26.6540316,150.3354945
CapCoal Mine Complex,operating,"Anglo American (70%), Mitsui Holdings (30%)",Anglo American,3.4,120,bituminous,met,underground_and_surface,500,Australia,Oceania,https://www.gem.wiki/Capcoal_Mining_Complex,-22.990997,148.580506
Carborough Coal Project,proposed,Bowen Coking Coal,Bowen Coking Coal,*,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Carborough_Coal_Project,-21.587894,148.428207
Carborough Downs Coal Mine,operating,"AMC (50%)I, Riverstone Holdings (50%)",Fitzroy Australia Resources,2.4,29,bituminous,met,underground,340,Australia,Oceania,https://www.gem.wiki/Carborough_Downs_mine,-21.9502,148.2094
Carborough Downs Coal Mine,proposed,"AMC (50%)I, Riverstone Holdings (50%)",Fitzroy Australia Resources,2.5,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Carborough_Downs_mine,-21.9502,148.2094
Carmichael Coal Project,operating,Adani Group,Adani Mining,10,,subbituminous,thermal,underground_and_surface,1464,Australia,Oceania,https://www.gem.wiki/Carmichael_Coal_Project,-22.073611,146.329722
Carmichael Coal Project,proposed,Adani Group,Adani Mining,32,,subbituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/Carmichael_Coal_Project,-22.073611,146.329722
Carmichael Coal Project,proposed,Adani Group,Adani Mining,18,,subbituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/Carmichael_Coal_Project,-22.073611,146.329722
Caval Ridge Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)",Thiess,7.8,318,bituminous,met,surface,197,Australia,Oceania,https://www.gem.wiki/Caval_Ridge_Project,-22.1056069,148.0475444
Caval Ridge Coal Mine,proposed,"BHP (50%), Mitsubishi Corporation (50%)",Thiess,*,,bituminous,met,surface,1500,Australia,Oceania,https://www.gem.wiki/Caval_Ridge_Project,-22.1056069,148.0475444
Central Queensland Coal Mine,cancelled,Mineralogy,"Central Queensland Coal (99%), Fairway Coal (1%)",2,,bituminous,thermal_and_met,surface,500,Australia,Oceania,https://www.gem.wiki/Central_Queensland_Coal_Project,-22.679446,149.659662
Chain Valley Coal Mine,operating,Sev.en Global Investments,Great Southern Energy,0.95,20,subbituminous,thermal,underground,208,Australia,Oceania,https://www.gem.wiki/Chain_Valley_Mine,-33.163056,151.549665
Chain Valley Consolidation Project,proposed,Sev.en Global Investments,Delta Coal,*,,subbituminous,thermal,underground,100,Australia,Oceania,https://www.gem.wiki/Chain_Valley_Consolidation_Project,-33.163056,151.549665
China Stone Coal Mine,cancelled,Shanxi Meijin Energy Group,Macmines Australia,38,3750,subbituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/China_Stone_project,-21.166667,145.75
Clarence Colliery,operating,"Banpu (85%), SK Energy (15%)","Centennial Coal, Clarence Joint Venture",1.6,31,bituminous,thermal,underground,268,Australia,Oceania,https://www.gem.wiki/Clarence_colliery,-33.4597,150.2479
Clermont Coal Mine,operating,"Glencore (37%), Sumitomo Corporation (37%), J Power (22%), J.C.D. Australia (4%)",Glencore,11,61,bituminous,thermal,surface,629,Australia,Oceania,https://www.gem.wiki/Clermont_mine,-22.7201075,147.6195648
Clifford Coal Mine,cancelled,"Stanmore Resources (50%), Japanese Oil, Gas and Metals National Corporation (JOGMEC) (50%)",Stanmore Coal,5,,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Clifford_coal_project,-25.751851,149.662081
Clyde Park Project,cancelled,"TerraCom (64.4%), Tiaro Coal (29.2%)",Clyde Park Coal,1.8,,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Clyde_Park_coal_project,-20.155867,144.86907
Collinsville Coal Mine,operating,Glencore,Newlands Collinsville Abbot Point (NCA),3.2,37,bituminous,thermal_and_met,surface,350,Australia,Oceania,https://www.gem.wiki/Collinsville_Coal_mine,-20.5567302,147.8148229
Columboola Project,cancelled,China Coal,"Metro (49%), SinoCoal Resources (51%)",5,,subbituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Columboola_coal_project,-26.744057,150.327096
Comet Ridge Coal Mine,cancelled,Bowen Coking Coal,Bowen Coking Coal,0.4,,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Comet_ridge_coking_coal_project,-24.008602,148.372046
Commodore Coal Mine,operating,InterGen NV,Downer EDI,3.6,177,bituminous,thermal,surface,395,Australia,Oceania,https://www.gem.wiki/Commodore_mine,-27.9343501,151.2554422
Cook Colliery,operating,QCoal,Mastermyne Group,0.45,210,bituminous,met,underground,588,Australia,Oceania,https://www.gem.wiki/Cook_Colliery,-23.7159074,148.8893157
Cooroorah Coking Coal Mine,shelved,Bowen Coking Coal,Bowen Coking Coal,*,,bituminous,met,surface,,Australia,Oceania,https://www.gem.wiki/Cooroorah_coking_coal_project,-23.40787,148.931119
Coppabella Coal Mine,operating,"Peabody Energy (73.3%), CITIC Australia Coppabella (14.0%), Marubeni Corporation (7.0%), KC Resources (3.7%), NS Coal (2.0%)",Coppabella and Moorvale Joint Venture (CMJV),2.18,22,bituminous,met,surface,195,Australia,Oceania,https://www.gem.wiki/Coppabella_coal_mine,-21.844554,148.427187
Cows Coal Mine,operating,QCoal,Thiess,1,,bituminous,thermal_and_met,surface,20,Australia,Oceania,https://www.gem.wiki/Cows_coal_mine,-20.63668673,147.85009
Cullenswood Coal Mine,operating,Cement Australia,Cornwall Coal Company,0.05,1,bituminous,thermal,surface,191,Australia,Oceania,https://www.gem.wiki/Cullenswood_coal_mine,-41.6125381,148.1254475
Curragh Coal Mine,operating,Coronado Global Resources,Coronado Coal,9.8,205,bituminous,thermal_and_met,surface,536,Australia,Oceania,https://www.gem.wiki/Curragh_Mine,-23.493219,148.842723
Curragh Coal Mine,operating,Coronado Global Resources,Coronado Coal,3,,bituminous,thermal_and_met,surface,536,Australia,Oceania,https://www.gem.wiki/Curragh_Mine,-23.493219,148.842723
Curragh Coal Mine,proposed,Coronado Global Resources,Coronado Coal,*,,bituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Curragh_Mine,-23.493219,148.842723
Dartbrook Coal Mine,operating,Australian Pacific Coal,AQC Dartbrook Management Pty Limited,6,370,subbituminous,thermal,underground,394,Australia,Oceania,https://www.gem.wiki/Dartbrook_mine,-32.1929124,150.894282
Daunia Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)",BHP Mitsubishi Alliance (BMA),2.9,86,bituminous,thermal_and_met,surface,433,Australia,Oceania,https://www.gem.wiki/Daunia_coal_project,-22.0410919,148.2702015
Dawson Complex,operating,"Anglo American (51%), Mitsui Holdings (49%)",Anglo American,2.1,97,bituminous,thermal_and_met,surface,1300,Australia,Oceania,https://www.gem.wiki/Dawson_mine,-24.6168211,150.0504833
Dawson West Coal Mine,cancelled,ASF Group,Civil & Mining Resources,1.6,,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Dawson_West_coal_mine,-24.889212,149.682066
Dendrobium Coal Mine,operating,South32,Illawarra Coal,2.7,13,bituminous,met,underground,240,Australia,Oceania,https://www.gem.wiki/Dendrobium_mine,-34.419776,150.826135
Dendrobium Extension Project,cancelled,South32,Illawarra Coal,*,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Dendrobium_mine,-34.419776,150.826135
Drake Coal Mine,operating,QCoal,Thiess,4.9,200,bituminous,thermal_and_met,surface,149,Australia,Oceania,https://www.gem.wiki/Drake_coal_mine,-20.705189,147.812727
Dysart East Coal Project,proposed,Bengal Energy,Mastermyne Group,1.9,32,bituminous,met,underground,200,Australia,Oceania,https://www.gem.wiki/Dysart_East_coal_project,-22.550335,148.414404
Eagle Downs Coal Project,cancelled,"China BaoWu Steel Group (50%), South32 (50%)","Aquila, South33",3.5,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Eagle_Downs_Coal_Project,-22.189318,148.204249
Eagle Downs Coal Project,cancelled,"China BaoWu Steel Group (50%), South32 (50%)","Aquila, South32",4.5,,bituminous,met,underground,500,Australia,Oceania,https://www.gem.wiki/Eagle_Downs_Coal_Project,-22.189318,148.204249
Elimatta Coal Mine,shelved,New Hope Group,Taroom Coal,4,112,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Elimatta_coal_mine,-26.021614,149.613529
Ensham Coal Mine,operating,"Thungela Resources Australia (85%), LX International (15%)",Sungela,2.9,724,subbituminous,thermal,underground_and_surface,331,Australia,Oceania,https://www.gem.wiki/Ensham_mine,-23.454464,148.497455
Ewington Coal Mine,mothballed,ICICI Bank,Griffin Coal,2,61,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Ewington_mine,-33.3624,116.25
Foxleigh Coal Mine,operating,"QMetco  Taurus Resources (70%), Posco Australia (20%), Nippon Steel Australia (10%)",Middlemount South Limited,4.08,70,bituminous,met,surface,314,Australia,Oceania,https://www.gem.wiki/Foxleigh_coal_mine,-22.997778,148.803889
Galilee Coal Mine,shelved,Mineralogy,Waratah Coal,40,1100,subbituminous,thermal,underground_and_surface,2300,Australia,Oceania,https://www.gem.wiki/Galilee_Coal_Project,-23.498536,145.94229
Gemini Coal Mine,proposed,Magnetic South,Magnetic South,1.9,,bituminous,met,surface,,Australia,Oceania,https://www.gem.wiki/Gemini_Coal_Mine,-23.625986,149.257487
Glendell Coal Mine,operating,Glencore,"Mt Owen,",4.5,,subbituminous,thermal,surface,176,Australia,Oceania,https://www.gem.wiki/Glendell_coal_mine,-32.45121527,151.0783194
Glendell Coal Mine,shelved,Glencore,"Mt Owen,",5.5,6,bituminous,thermal_and_met,surface,690,Australia,Oceania,https://www.gem.wiki/Glendell_coal_mine,-32.45121527,151.0783194
Goonyella-Riverside Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",18.8,532,bituminous,met,surface,591,Australia,Oceania,https://www.gem.wiki/Goonyella_Riverside_mine,-21.792321,147.962045
Gorman North Coal Project,proposed,Whitehaven,Whitehaven,*,,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Gorman_North_Coal_Project,-30.466394,149.83104
Gregory Crinum Coal Mines,operating,"Sojitz Corporation (96%), KORES (4%)",Mastermyne,1,27,bituminous,met,underground_and_surface,550,Australia,Oceania,https://www.gem.wiki/Gregory_Crinum_mine,-23.1491384,148.3875874
Grosvenor Coal Mine,operating,Anglo American,Anglo American,3.03,99,bituminous,met,underground,800,Australia,Oceania,https://www.gem.wiki/Grosvenor_coal_project,-21.97420531,148.0106197
Grosvenor West Coal Mine,shelved,Qinghai Kingho Group,Carabella Resources,6,60,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Grosvenor_West_coal_project,-21.928195,147.957528
Hail Creek Coal Mine,operating,"Glencore (85%), Marubeni (12%), Sumitomo (3%)",Glencore,9.4,108,bituminous,thermal_and_met,surface,940,Australia,Oceania,https://www.gem.wiki/Hail_Creek_coal_mine,-21.484811,148.37
Hillalong Coal Mine,proposed,Shandong Energy,Bowen Coking Coal,4.2,,bituminous,thermal_and_met,underground_and_surface,436,Australia,Oceania,https://www.gem.wiki/Hillalong_coal_mine,-21.416653,148.31
Hume Coal Mine,cancelled,POSCO,Hume Coal,3,,bituminous,thermal_and_met,underground,300,Australia,Oceania,https://www.gem.wiki/Hume_coal_project,-34.54081,150.284465
Hunter Valley Continuation Project,proposed,"Yankuang Energy (51%), Glencore (51%)",Glencore,*,,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Hunter_Valley_Continuation_Project,-32.5245107,150.9819012
Hunter Valley North Coal Mine,operating,"Yankuang Energy (51%), Glencore (51%)",Hunter Valley Operations,4.54,773,bituminous,thermal_and_met,surface,1200,Australia,Oceania,https://www.gem.wiki/Hunter_Valley_North_coal_mine,-32.4657844,150.9734981
Hunter Valley South Coal Mine,operating,"Yankuang Energy (51%), Glencore (51%)",Hunter Valley Operations,9.87,,bituminous,thermal_and_met,surface,1200,Australia,Oceania,https://www.gem.wiki/Hunter_Valley_South_coal_mine,-32.5245107,150.9819012
Hutton Coal Mine,cancelled,Valiant Resources,Valiant Resources,24,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Hutton_coking_coal_project,-25.951645,148.961201
Hutton Coal Mine,cancelled,Valiant Resources,Valiant Resources,24,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Hutton_coking_coal_project,-25.951645,148.961201
Ironbark No. 1 Coal Mine,operating,"Riverstone, AMCI",Fitzroy Mining Operations,6,,bituminous,thermal_and_met,underground,350,Australia,Oceania,https://www.gem.wiki/Ironbark_No._1_coal_mine,-21.97648262,148.2346531
Isaac Downs Coal Mine,operating,Stanmore Resources,ESPA Pacific,2.4,18,bituminous,met,surface,300,Australia,Oceania,https://www.gem.wiki/Isaac_Downs_coal_mine,-21.97936646,148.1290409
Isaac Plains East Coal Mine,operating,Sinar Mas Tunggal,Stanmore Coal,2.9,1,bituminous,met,surface,73,Australia,Oceania,https://www.gem.wiki/Integrated_Isaac_Plains_Project,-21.9718375,148.1132931
Isaac Plains South,proposed,Stanmore Resources,Stanmore Resources,*,,bituminous,met,surface,,Australia,Oceania,https://www.gem.wiki/Integrated_Isaac_Plains_Project,-22.00118,148.151384
Isaac Plains Underground,proposed,Stanmore Resources,Stanmore Resources,1.2,20,bituminous,thermal_and_met,underground,,Australia,Oceania,https://www.gem.wiki/Integrated_Isaac_Plains_Project,-21.949387,148.144479
Isaac River Coal Mine,proposed,Bowen Coking Coal,Bowen Coking Coal,0.5,,bituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Isaac_River_Coal_Mine,-21.920288,148.364672
Jax Coal Mine,operating,QCoal,Thiess,1.16,36,bituminous,thermal_and_met,surface,20,Australia,Oceania,https://www.gem.wiki/Jax_coal_mine,-20.713736,147.860166
Jeebropilly Mine,closed,New Hope Group,New Hope Group,0.2,0,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Jeebropilly_Mine,-27.6230172,152.6593549
Jellinbah Coal Mine,operating,"Jellinbah (70%), Marubeni (15%), Sojitz (15%)",Golding Contractors,2.1,,bituminous,met,surface,477,Australia,Oceania,https://www.gem.wiki/Jellinbah_coal_mine,-23.406874,148.950644
Karin Coal Mine,proposed,"Vitrinite (50%), Itochu (50%)",Vitrinite,1.7,,bituminous,met,underground_and_surface,350,Australia,Oceania,https://www.gem.wiki/Karin_coal_project,-23.058371,147.581142
Kestrel Coal Mine,operating,"EMR Capital (45.4%), Adaro Energy (34.6%), Mitsui and Company (20%)",Kestrel Coal Resources,5.67,190,bituminous,met,underground,375,Australia,Oceania,https://www.gem.wiki/Kestrel_mine,-23.236333,148.3583273
Kevin's Corner Coal Mine,shelved,GVK Group,Hancock Galilee,30,473,subbituminous,thermal,underground_and_surface,,Australia,Oceania,https://www.gem.wiki/Kevin%27s_Corner_Coal_Project,-23.085191,146.427147
Kimbolton Coal Mine,closed,Cement Australia,Cornwall Coal Company,0.4,1,subbituminous,thermal,surface,70,Australia,Oceania,https://www.gem.wiki/Kimbolton_Coal_Mine,-42.538964,146.781461
Kogan Creek Coal Mine,operating,CS Energy,Golding Contractors,2.8,310,subbituminous,thermal,surface,80,Australia,Oceania,https://www.gem.wiki/Kogan_Creek_mine,-26.9384276,150.7743816
Lake Vermont Coal Mine,operating,"Jellinbah (70%), Marubeni (10%), Sojitz (10%), AMCI (10%)",Thiess,9.7,184,bituminous,thermal_and_met,surface,495,Australia,Oceania,https://www.gem.wiki/Lake_Vermont_coal_mine,-22.4611726,148.4056045
Lake Vermont Coal Mine,proposed,"Jellinbah (70%), Marubeni (10%), Sojitz (10%), AMCI (10%)",Thiess,5.5,,bituminous,met,underground,350,Australia,Oceania,https://www.gem.wiki/Lake_Vermont_Coal_Project,-22.3894938,148.3769527
Langloh Coal Mine,cancelled,Advaita Group,Indicoal Mining Australia,0.9,,bituminous,,surface,,Australia,Oceania,https://www.gem.wiki/Langloh_Coal_Mine,-42.5377465,146.7725941
Liddell Coal Mine,operating,"Glencore (67.5%), Mitsui Matsushima Holdings (32.5%)",Liddell Coal Operations,4.98,2,bituminous,thermal_and_met,surface,213,Australia,Oceania,https://www.gem.wiki/Liddell_Colliery,-32.40838,151.031944
Lilyvale Coal Project,shelved,"Stanmore Resources (85%), Bowen Coking Coal (15%)",Stanmore Resources,*,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Lilyvale_coal_project,-23.425369,148.259677
Loy Yang Coal Mine,operating,AGL Energy,Loy Yang,28,,subbituminous,thermal,surface,600,Australia,Oceania,https://www.gem.wiki/Loy_Yang_mine,-38.2347,146.564
Mackenzie Coal Project,shelved,"Stanmore Resources (85%), Bowen Coking Coal (15%)",Stanmore Resources,*,,bituminous,met,surface,,Australia,Oceania,https://www.gem.wiki/Mackenzie_Coal_Project,-23.303154,148.232465
Mandalong Coal Mine,operating,Banpu,Centennial Coal Mandalong,2.78,68,bituminous,thermal,underground,815,Australia,Oceania,https://www.gem.wiki/Mandalong_mine,-33.119111,151.461844
Mandalong Coal Mine,proposed,Banpu,Centennial Coal Mandalong,0.5,153,subbituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Mandalong_mine,-33.119111,151.461844
Mangoola Coal Mine,operating,Glencore,Mangoola Coal Operations,6.1,105,subbituminous,thermal,surface,390,Australia,Oceania,https://www.gem.wiki/Mangoola_coal_mine,-32.294922,150.706712
Mangoola Coal Mine,proposed,Glencore,Mangoola Coal Operations,5,52,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Mangoola_coal_mine,-32.294922,150.706712
Mannering Colliery,operating,Delta Coal,Delta Coal,1.1,,subbituminous,thermal,underground,356,Australia,Oceania,https://www.gem.wiki/Mannering_Colliery,-33.177227,151.542804
Maules Creek Coal Mine,operating,"Whitehaven (75%), Itochu (15%), J Power (10%)",Whitehaven,8.86,362,bituminous,thermal_and_met,surface,700,Australia,Oceania,https://www.gem.wiki/Maules_Creek_coal_mine,-30.562606,150.11498
Maxwell Coal Mine,proposed,Malabar Resources,PYBAR Mining Services; Maxwell Ventures,3.6,141,bituminous,met,underground,350,Australia,Oceania,https://www.gem.wiki/Maxwell_coal_mine,-32.433479,150.824735
Meandu Coal Mine,operating,Sinar Mas Tunggal,Stanmore Coal,5,36,subbituminous,thermal,surface,117,Australia,Oceania,https://www.gem.wiki/Meandu_coal_mine,-26.813543,151.911523
Meandu Coal Mine,proposed,Sinar Mas Tunggal,Stanmore Coal,5,,subbituminous,thermal,surface,117,Australia,Oceania,https://www.gem.wiki/Meandu_coal_mine,-26.813543,151.911523
Meteor Downs South Coal Mine (MDS),operating,"Sojitz (50%), U&D Mining Industry (50%)",Sojitz Blue,1.5,13,bituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Meteor_Downs_South_coal_mine,-24.433867,148.385912
Metropolitan Coal Mine,operating,Peabody Energy,Peabody Energy Australia,1.63,16,bituminous,met,underground,301,Australia,Oceania,https://www.gem.wiki/Metropolitan_coal_mine,-34.184912,150.996569
Middlemount Coal Mine,operating,"Peabody Energy (50%), Yancoal (50%)",Middlemount Coal Limited,4,88,subbituminous,thermal_and_met,surface,,Australia,Oceania,https://www.gem.wiki/Middlemount_coal_mine,-22.848131,148.631626
Millenium Coal Mine,operating,"Stanmore Resources (50%), M Resources (50%)",MetRes,1.2,,bituminous,met,underground,150,Australia,Oceania,https://www.gem.wiki/Millenium_coal_mine,-22.029079,148.259967
Minerva Coal Mine,closed,"Sojitz Corporation (96%), KORES (4%)",Sojitz Blue,1.5,24,subbituminous,thermal,surface,197,Australia,Oceania,https://www.gem.wiki/Minerva_coal_mine,-23.921376,148.047135
Minyango Coking Coal Project,cancelled,QCoal,Bounty Mining Limited (Bounty),6,78,bituminous,thermal_and_met,underground,,Australia,Oceania,https://www.gem.wiki/Minyango_Coal_project,-23.497583,148.807134
