project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Yilan No. 3 Coal Mine,operating,China Coal,Heilongjiang Coal and Chemical Industry Group of China Coal,2.4,140,bituminous,thermal,underground,1406,China,Asia,https://www.gem.wiki/Yilan_No._3_Coal_Mine,46.14473,129.385463
Yili Jieliangzibei Coal Mine,proposed,Heilongjiang Longmay Mining Holding Group,Yili Hongyu Mining Company,2.4,,bituminous,thermal,underground,,China,Asia,,44.053623,80.872947
Yili No.4 Coal Mine,operating,"Shandong Energy (55%), Zhejiang Energy Group (45%)",Yili New Mining and Coal Industry Company,7.5,968,bituminous,thermal_and_met,underground,707,China,Asia,https://www.gem.wiki/Yili_No.4_coal_mine,44.074228,81.141898
Yimin Coal Mine,operating,Ordos Kaiyuan Investment Company,Inner Mongolia Yimin Coal Company Yimin Coal Mine,1.2,39,bituminous,thermal_and_met,underground,333,China,Asia,https://www.gem.wiki/Yimin_Coal_Mine,39.367159,110.373073
Yimin Surface Mine,operating,China Huaneng,Huaneng Yimin Coal and Electricity Company,35,,lignite,thermal,surface,3588,China,Asia,https://www.gem.wiki/Yimin_open-pit_mine,48.588717,119.757048
Yindonggou Coal Mine,operating,Ningxia Wangwa Coal Industry Company,Ningxia Wangwa Coal Industry Company,3,235,bituminous,thermal,underground,693,China,Asia,https://www.gem.wiki/Yindonggou_Coal_Mine,36.24022,106.615825
Yingcheng Coal Mine,operating,Jilin Province Bowei Industrial Company,Jilin Yuguang Yingcheng Mining Company,1.2,58,bituminous,thermal,underground,1225,China,Asia,https://www.gem.wiki/Yingcheng_Coal_Mine,44.160582,125.860023
Yingpanhao Coal Mine,operating,"Shandong Energy (82%), Other (28%)",Erdos Yingpanhao Coal Industry Company,12,,bituminous,thermal,underground,464,China,Asia,https://www.gem.wiki/Yingpanhao_Coal_Mine,38.467484,108.945391
Yingshahao Coal Mine,operating,Jungar Banner Shentao Coal Transportation and Marketing Company,Jungar Banner Shentao Coal Transportation and Marketing Company Yingshahao Coal Mine,1,29,bituminous,thermal,underground,215,China,Asia,https://www.gem.wiki/Yingshahao_Coal_Mine,39.69447,110.222396
Yingyuan Yuchuan Coal Mine,operating,Inner Mongolia Yingyuan Coal Transportation and Marketing Company,Inner Mongolia Yingyuan Coal Transportation and Marketing Company,1.8,55,bituminous,thermal,underground,306,China,Asia,https://www.gem.wiki/Yingyuan_Yuchuan_Coal_Mine,39.655497,111.281901
